151, 63626904602678.672;
152, 63626904604676.398;
153, 63626904606676.242;
154, 63626904608677.133;
155, 63626904610676.844;
156, 63626904612677.797;
157, 63626904614678.117;
158, 63626904616677.562;
159, 63626904618675.766;
160, 63626904620675.859;
161, 63626904622676.469;
162, 63626904624677.703;
163, 63626904626676.195;
164, 63626904628677.945;
165, 63626904630676.766;
166, 63626904632676.453;
167, 63626904634677.328;
168, 63626904636675.969;
169, 63626904638676.891;
170, 63626904640677.750;
171, 63626904642675.648;
172, 63626904644679.461;
173, 63626904646676.250;
174, 63626904648678.258;
175, 63626904650676.164;
176, 63626904652676.102;
177, 63626904654676.148;
178, 63626904656678.227;
179, 63626904658676.602;
180, 63626904660678.227;
181, 63626904662678.141;
182, 63626904664676.789;
183, 63626904666676.117;
184, 63626904668678.000;
185, 63626904670676.602;
186, 63626904672676.672;
187, 63626904674676.305;
188, 63626904676677.766;
189, 63626904678675.398;
190, 63626904680676.953;
191, 63626904682675.242;
192, 63626904684680.547;
193, 63626904686678.648;
194, 63626904688676.406;
195, 63626904690677.469;
196, 63626904692677.117;
197, 63626904694674.938;
198, 63626904696677.797;
199, 63626904698676.125;
200, 63626904700677.812;
201, 63626904702675.000;
202, 63626904704675.734;
203, 63626904706677.555;
204, 63626904708677.336;
205, 63626904710678.211;
206, 63626904712678.062;
207, 63626904714677.758;
208, 63626904716675.555;
209, 63626904718678.227;
210, 63626904720678.445;
1, 63626904785576.016;
2, 63626904787576.688;
3, 63626904789577.703;
4, 63626904791578.008;
5, 63626904793576.141;
6, 63626904795575.750;
7, 63626904797575.891;
8, 63626904799577.680;
9, 63626904801575.586;
10, 63626904803577.203;
11, 63626904805577.711;
12, 63626904807576.070;
13, 63626904809577.375;
14, 63626904811576.172;
15, 63626904813576.148;
16, 63626904815578.000;
17, 63626904817577.594;
18, 63626904819575.688;
19, 63626904821578.930;
20, 63626904823576.484;
21, 63626904825576.867;
22, 63626904827577.773;
23, 63626904829577.562;
24, 63626904831575.648;
25, 63626904833575.633;
26, 63626904835575.359;
27, 63626904837576.859;
28, 63626904839577.719;
29, 63626904841577.797;
30, 63626904843576.055;
31, 63626904845575.602;
32, 63626904847577.516;
33, 63626904849576.766;
34, 63626904851575.367;
35, 63626904853575.672;
36, 63626904855577.227;
37, 63626904857575.453;
38, 63626904859578.797;
39, 63626904861575.375;
40, 63626904863577.750;
41, 63626904865575.555;
42, 63626904867578.125;
43, 63626904869575.062;
44, 63626904871576.008;
45, 63626904873575.156;
46, 63626904875576.102;
47, 63626904877576.211;
48, 63626904879576.328;
49, 63626904881575.500;
50, 63626904883576.164;
51, 63626904885575.023;
52, 63626904887577.516;
53, 63626904889575.648;
54, 63626904891693.883;
55, 63626904893576.422;
56, 63626904895578.008;
57, 63626904897576.242;
58, 63626904899575.680;
59, 63626904901575.273;
60, 63626904903576.719;
61, 63626904905575.789;
62, 63626904907575.453;
63, 63626904909575.961;
64, 63626904911578.570;
65, 63626904913575.336;
66, 63626904915578.086;
67, 63626904917575.727;
68, 63626904919575.625;
69, 63626904921578.125;
70, 63626904923578.211;
71, 63626904925575.219;
72, 63626904927578.234;
73, 63626904929575.781;
74, 63626904931574.781;
75, 63626904933576.906;
76, 63626904935576.609;
77, 63626904937574.797;
78, 63626904939574.844;
79, 63626904941576.281;
80, 63626904943576.102;
81, 63626904945574.898;
82, 63626904947575.047;
83, 63626904949576.047;
84, 63626904951575.648;
85, 63626904953577.148;
86, 63626904955575.266;
87, 63626904957574.711;
88, 63626904959575.312;
89, 63626904961576.344;
90, 63626904963574.586;
91, 63626904965575.008;
92, 63626904967576.648;
93, 63626904969576.852;
94, 63626904971576.109;
95, 63626904973576.250;
96, 63626904975574.859;
97, 63626904977576.891;
98, 63626904979577.680;
99, 63626904981579.234;
100, 63626904983575.602;
101, 63626904985574.469;
102, 63626904987574.773;
103, 63626904989574.781;
104, 63626904991575.258;
105, 63626904993575.594;
106, 63626904995576.711;
107, 63626904997574.344;
108, 63626904999575.953;
109, 63626905001576.953;
110, 63626905003574.328;
111, 63626905005576.852;
112, 63626905007574.680;
113, 63626905009574.703;
114, 63626905011574.469;
